u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,service,junction,bridge,width,access,ref,tunnel,walkability
62488559,6872644986,0,8722558,residential,2,25 mph,South 1st Street,False,False,4.872123597464301,,,,,,,,0.3959680875535592
62488848,5352844564,0,8722579,residential,2,25 mph,Elder Boulevard,False,False,10.672577809928168,,,,,,,,0.4092669012704357
62488975,4715983502,0,418370588,service,,,,False,False,8.903338505885113,driveway,,,,,,,0.3981261307235065
62489031,9920337704,0,8724462,residential,2,25 mph,Manor Drive,False,True,8.781525062996758,,,,,,,,0.39354236861912856
62489567,62490780,0,8722731,residential,2,,Rock Creek Drive,False,True,309.00868372940687,,,,,,,,0.41325361201130284
62489926,5348290524,0,8729889,residential,2,,Sherwood Circle,False,False,6.555400151822482,,,,,,,,0.413212679562964
62489926,5964340592,0,8722666,residential,2,,Sherwood Street,False,False,68.44729266751614,,,,,,,,0.4546622909952311
62490002,5260144530,0,8722675,residential,2,,Fairmount Drive,False,False,8.242237481939947,,,,,,,,0.41325361201130284
62490006,5259819398,0,225624378,residential,2,,Windemere Drive,False,True,8.847360304799782,,,,,,,,0.39938050108680034
62490012,2887749403,0,285091784,residential,1,,Fairmount Drive,False,True,3.6855684066567767,,,,,,,,0.40288255235987225
62490213,62490215,0,8722688,residential,2,,Hawthorn Road,False,False,87.36415252939938,,,,,,,,0.38817084603851987
62490284,6612675504,0,442148080,secondary,2,35 mph,Scio Church Road,False,True,9.084654277517984,,,,,,,,0.4059040863886815
62490499,7359791228,0,8727874,residential,2,,Linda Vista Street,False,True,6.721119016777007,,,,,,,,0.3962126881547216
62490521,9236181723,0,8729392,residential,2,,Franklin Street,False,False,8.63605603617427,,,,,,,,0.3962126881547216
62490780,62549474,0,8727668,residential,2,,Orchard Hills Drive,False,True,97.64172040424491,,,,,,,,0.42937387988700043
62491074,9831318428,0,413193981,tertiary,2,25 mph,Boardwalk Drive,False,True,21.6096088086244,,,,,,,,0.3981115180643835
62491082,3469042085,0,8722767,tertiary,2,25 mph,Boardwalk Drive,False,False,46.23984300818475,,,,,,,,0.3981115180643835
62491254,62491252,0,8722782,residential,2,25 mph,Soule Boulevard,False,True,16.395800432487473,,,,,,,,0.38672573342324634
62491256,62491262,0,8722782,residential,2,25 mph,Soule Boulevard,False,False,99.48837786355867,,,,,,,,0.38978196609490057
62491397,4936047840,0,8722798,living_street,2,,Keppler Court,False,True,9.718518439233325,,,,,,,,0.3964511899795997
62491528,7918798988,0,8733558,residential,2,25 mph,Foxway Drive,False,False,8.465649658951117,,,,,,,,0.38529482297528295
62491724,7977698739,0,8726977,residential,2,,Orkney Drive,False,False,34.21393518538304,,,,,,,,0.413079838984318
62491968,5006119340,0,441128593,unclassified,2,,Huron View Boulevard,False,True,2.657658149328688,,,,,,,,0.39678994295360853
62491968,5006119341,0,8722838,unclassified,2,,Research Drive,False,False,30.773073062210447,,,,,,,,0.398068625125306
62491983,5006119360,0,511862426,service,,,,False,False,24.38266363715846,parking_aisle,,,,,,,0.3938531319976107
62492544,6612704735,0,8733856,residential,1,,Landmark Court,False,False,17.23646603380213,,,,,,,,0.41042860673207565
62492556,5861938613,0,620424429,secondary,2,35 mph,Scio Church Road,False,False,51.69617458880306,,,,,,,,0.38988660515516427
